,,OD600,DCW,total DCW in Broth,Growth rate µ,Dilution rate,Retention factor,r_CO2 (=CER),MSG in Feed,MSG from Feed,MSG CEDEX,total MSG in Broth,MSG to Bleed,MSG to Harvest,r_MSG,q_MSG,Yield x/MSG,Yield x/MSG,Yield CO2/MSG,Glucose in Feed,Glc from Feed,Glucose CEDEX,Glucose HPLC,total Glc in Broth,Glc to Bleed,Glc to Harvest,r_Glc,q_Glc,q_Glc+qMSG,Yield x/Glc,Yield x/Glc,Yield CO2/Glc,Trehalose in Feed,Trehalose from Feed,Trehalose HPLC,total Trehalose in Broth,Trehalose to Bleed,Trehalose to Harvest,r_Trehalose,q_Trehalose,Yield Trehalose/Glucose,Yield Trehalose/Glucose,Yield Trehalose/MSG,Yield Trehalose/MSG,Yield Trehalose/s,Yield Trehalose/s,Yield x/s,Yield x/s,Yield CO2/s,Yield Trehalose/s,C-Balance
,,,g/L,g,1/h,1/h,,mmol/L/h,g/L,g,g/L,g,g,g,g_MSG/L/h,g_MSG/g_x/h,g_x/g_MSG,C-mmol_x/C-mmol_MSG,C-mmol_CO2/C-mmol_MSG,g/L,g,g/L,g/L,g,g,g,g_Glc/L/h,g_Glc/g_x/h,g_S/g_x/h,g_x/g_Glc,C-mmol_x/C-mmol_Glc,C-mmol_CO2/C-mmol_Glc,g/L,g,g/L,g,g,g,g_Tre/L/h,g_Tre/g_x/h,g_Tre/g_Glc,C-mmol_Tre/mmol_Glc,g_Tre/g_MSG,C-mmol_Tre/C-mmol_MSG,g_Tre/g_s,C-mmol_Tre/C-mmol_s,g_x/g_s,C-mmol_x/C-mmol_s,C-mmol_CO2/C-mmol_s,C-mmol_Tre/C-mmol_s,
Low Cell Density,12/05/2021,11.99359,7.80783,15.61565,0.03038,0.04718,0.33287,10.67821,37.52,24.16675,0,0,0,0,0.43027,0.05467,0.55582,0.43656,0.83938,15.53,9.87657,0.12539,,0,0.27279,0.13162,0.17423,0.02214,0.0768,1.37261,1.21545,1.83863,0,0,0.2,0.4,0.3485,0.16816,0.00917,0.00116,0.05261,0.05533,0.0213,0.02526,0.01516,0.01734,0.39562,0.48585,0.57629,0.01734,1.07948
Low Cell Density,15/05/2021,12.10413,7.87979,15.75958,0.0318,0.0475,0.33202,10.70777,37.52,101.98122,0,0,0,0,0.43176,0.05504,0.57768,0.45373,0.8388,15.53,41.67811,0.05315,0.0681,0.1362,0.51023,0.24136,0.17269,0.02202,0.07706,1.44429,1.27892,1.86013,0,0,0.4401,0.8802,2.39795,1.13432,0.01699,0.00217,0.09837,0.10345,0.03935,0.04665,0.0281,0.03215,0.41264,0.50691,0.57811,0.03215,1.11717
Low Cell Density,19/05/2021,12.21467,7.95175,15.9035,0.03345,0.04735,0.33179,10.78805,37.52,15.23038,0,0,0,0,0.42943,0.05494,0.60888,0.47823,0.84967,15.53,6.22441,0.02234,0.0308,0.0616,0.04425,0.02099,0.17465,0.02234,0.07728,1.49707,1.32566,1.85305,0,0,0.3713,0.7426,0.44781,0.21246,0.01529,0.00196,0.08754,0.09207,0.0356,0.04222,0.02531,0.02894,0.43284,0.5315,0.58256,0.02894,1.143
Low Cell Density,28/09/2021,12.8,8.3328,16.6656,0.03138,0.04749,0.33271,12.88449,38.06,21.02972,0,0,0,0,0.4357,0.05216,0.60161,0.47253,1.00019,18,9.94574,0,0,0,0,0,0.20606,0.02467,0.07684,1.27208,1.12642,1.87585,0,0,0.36548,0.73096,0.58334,0.27699,0.01639,0.00196,0.07956,0.08367,0.03763,0.04461,0.02555,0.0291,0.40844,0.49959,0.65236,0.0291,1.18104
Low Cell Density,11/10/2021,11.97,7.79247,15.58494,0.02513,0.04772,0.33411,12.45727,38.06,3.50379,0.4468,0.89361,0.11392,0.05905,0.41404,0.05267,0.47705,0.37469,1.0176,18,1.65707,0.74226,0,0,0,0,0.20045,0.0255,0.07817,0.98535,0.87253,1.86437,0,0,0.36549,0.73097,0.09811,0.05085,0.0163,0.00207,0.08131,0.08551,0.03936,0.04667,0.02652,0.03019,0.32143,0.39291,0.65829,0.03019,1.0814
High Cell Density,30/04/2021,30.01161,19.53756,39.07512,0.03573,0.06659,0.53301,29.534,76.94085,73.93548,0.32944,0.65888,0.63253,0.53307,1.52696,0.07702,0.46393,0.36439,0.65418,38.4011,36.90113,0.53093,0.5968,1.1936,0.95301,0.80317,0.73155,0.0369,0.11392,0.96837,0.85749,1.21116,0,0,0.8263,1.6526,1.46819,1.23735,0.05616,0.00283,0.07678,0.08075,0.03678,0.04361,0.02487,0.02832,0.31366,0.38352,0.42476,0.02832,0.8366
High Cell Density,03/05/2021,30.64722,19.95134,39.90267,0.03702,0.06849,0.50174,28.42015,76.94085,223.47415,0.35441,0.70883,1.80537,1.48635,1.53118,0.07755,0.47734,0.37492,0.62777,38.4011,111.53573,0.46661,0.5005,1.001,2.89687,2.38498,0.74041,0.0375,0.11505,0.98714,0.87412,1.15153,0,0,0.835,1.67,4.38583,3.61083,0.05574,0.00282,0.07529,0.07918,0.03641,0.04317,0.02454,0.02794,0.32175,0.39332,0.40628,0.02794,0.82753
High Cell Density,28/05/2021,30.275,19.70903,39.41805,0.03571,0.06842,0.49758,30.14249,76.94085,79.23142,0,0,0,0,1.55356,0.07799,0.4579,0.35965,0.65622,38.64,39.79033,0,0.0533,0.1066,0.09747,0.08006,0.77664,0.03899,0.11697,0.91596,0.81108,1.16434,0,0,2.2788,4.5576,4.45027,3.65532,0.15038,0.00755,0.19363,0.20364,0.0968,0.11477,0.06454,0.0734,0.30528,0.37285,0.41969,0.0734,0.86594
High Cell Density,31/05/2021,30.05,19.56255,39.1251,0.03666,0.06818,0.49969,30.7731,76.94085,233.04342,0,0,0,0,1.55362,0.07912,0.46338,0.36396,0.66992,44.75,135.54168,0,0.0204,0.0408,0.20321,0.16582,0.90159,0.04592,0.12504,0.79851,0.70708,1.02396,0,0,2.371,4.742,12.82069,10.4618,0.15645,0.00797,0.17352,0.1825,0.1007,0.1194,0.06372,0.07218,0.29322,0.35664,0.40497,0.07218,0.83379
High Cell Density,09/06/2021,30.75,20.01825,40.0365,0.03897,0.0734,0.47445,30.10203,76.94085,65.73386,0,0,0,0,1.55033,0.07798,0.49972,0.3925,0.65671,44.75,38.23183,0,0.0202,0.0404,0.03371,0.02607,0.90034,0.04529,0.12327,0.86049,0.76196,1.00303,0,0,2.3842,4.7684,3.94025,3.04769,0.16091,0.00809,0.17873,0.18797,0.10379,0.12307,0.06566,0.07437,0.31613,0.38449,0.39687,0.07437,0.85574
Overfeeding,10/06/2021,31.9,20.7669,41.5338,0.04769,0.07147,0.49063,40.43866,76.94085,10.03844,0,0,0,0,2.37129,0.11545,0.41305,0.32443,0.57678,44.75,5.83852,0.10954,0.1755,0.351,0.01578,0.01262,1.30132,0.06336,0.17881,0.75267,0.66649,0.93225,0,0,2.5061,5.0122,0.38396,0.30692,0.22778,0.01109,0.17504,0.18409,0.09606,0.1139,0.06202,0.07036,0.26669,0.32488,0.35633,0.07036,0.75157
Overfeeding,15/06/2021,33.925,22.08518,44.17035,0.08535,0.07244,0.48643,39.88506,76.94085,9.57748,3,6,0.37178,0.30001,1.68431,0.0801,1.06557,0.83694,0.80091,44.75,5.57041,0.03009,0.0379,0.0758,0.00863,0.00697,1.37449,0.06537,0.14547,1.30576,1.15625,0.87054,0,0,2.5538,5.1076,0.36283,0.29279,0.27113,0.01289,0.19726,0.20746,0.16097,0.19086,0.08864,0.09941,0.58675,0.70659,0.41714,0.09941,1.22313
Overfeeding,13/09/2021,31.95,17.4,34.8,0.05132,0.06994,0.50545,46.75,75.69836,9.18203,1.63263,3.26526,0.21345,0.18546,2.09258,0.12234,0.41946,0.32946,0.75561,35.86085,4.34983,0,0.0222,0.0444,0.0029,0.00252,1.07598,0.0629,0.18524,0.81576,0.72236,1.30346,0,0,2.56985,5.13969,0.33705,0.29285,0.28232,0.0165,0.26238,0.27595,0.13491,0.15997,0.0891,0.10126,0.27702,0.33807,0.47833,0.10126,0.91766
Overfeeding,19/09/2021,32.2,20.9622,41.9244,0.03873,0.07274,0.49621,45.27887,74.34898,9.52143,0.93774,1.87549,0.14085,0.11871,2.20521,0.10553,0.367,0.28825,0.69446,36.32026,4.65132,0,0.0198,0.0396,0.00285,0.0024,1.1054,0.0529,0.15842,0.73214,0.64831,1.22885,0,0,1.9463,3.8926,0.28383,0.23921,0.17844,0.00854,0.16142,0.16977,0.08092,0.09594,0.0539,0.0613,0.24446,0.29854,0.44371,0.0613,0.80355
Overfeeding,23/09/2021,32.4,21.0924,42.1848,0.04884,0.07205,0.50606,47.82025,74.34898,9.90579,0.96136,1.92273,0.11286,0.10574,2.0711,0.09997,0.48854,0.38372,0.78093,36.32026,4.83908,0,0.0412,0.0824,0.00573,0.00537,1.10514,0.05334,0.15331,0.91556,0.81073,1.29812,0,0,0.4325,2.52366,0.05305,0.0497,0.06729,0.00325,0.06089,0.06404,0.03249,0.03852,0.02119,0.02405,0.31856,0.38837,0.4876,0.02405,0.90002
