Stdev,,,,,,,,
,,,,,,,,
Low,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.00796,0.000987,0.0426,0.0448,0.0184,0.0218,0.0128,0.0146
Glycine,0,0,0,0,0,0,0,0
Alanine,0,0,0,0,0,0,0,0
Proline,0,0,0,0,0,0,0,0
Valine,0,0,0,0,0,0,0,0
Threonine,0.0000000403,0.0000000076,0.00000106,0.00000107,0.0000000323,0.0000000367,0.000000106,0.000000124
Isoleucine,0,0,0,0,0,0,0,0
Aspartate,0,0,0,0,0,0,0,0
Lysine,0,0,0,0,0,0,0,0
Phenylalanine,0,0,0,0,0,0,0,0
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
High,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.0549,0.00277,0.0585,0.0615,0.0351,0.0416,0.0219,0.0248
Glycine,0.00000942,0.000000472,0.000115,0.0000921,0.000115,0.000104,0.0000162,0.00000205
Alanine,0.000000323,0.0000000162,0.00000396,0.000004,0.000000325,0.000000371,0.000000557,0.000000644
Proline,0.00000233,0.000000117,0.0000285,0.0000371,0.00000235,0.00000344,0.00000402,0.00000598
Valine,0.00000826,0.000000414,0.000101,0.000129,0.00000832,0.000012,0.0000142,0.0000208
Threonine,0.000000794,0.0000000398,0.00000973,0.0000098,0.0000008,0.00000091,0.00000137,0.00000158
Isoleucine,0.000000249,0.0000000125,0.00000305,0.00000418,0.000000251,0.000000388,0.000000429,0.000000674
Aspartate,0.000000794,0.0000000398,0.00000973,0.00000875,0.0000008,0.000000812,0.00000137,0.00000121
Lysine,0.0000000688,0.00000000345,0.000000843,0.00000104,0.0000000694,0.0000000962,0.000000119,0.000000143
Phenylalanine,0,0,0,0,0,0,0,0
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
Overfeeding,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.0738,0.0035,0.0493,0.0519,0.0452,0.0536,0.0233,0.026
Glycine,0.000243,0.0000506,0.000825,0.000658,0.000825,0.000742,0.000218,0.0000857
Alanine,0.000172,0.0000344,0.000556,0.000562,0.000428,0.000488,0.000149,0.000157
Proline,0.00000672,0.00000137,0.0000242,0.0000315,0.0000193,0.0000284,0.00000564,0.00000747
Valine,0.00194,0.000389,0.00629,0.00805,0.00485,0.00699,0.00169,0.00224
Threonine,0.0000162,0.00000341,0.0000557,0.0000562,0.0000432,0.0000491,0.0000147,0.0000153
Isoleucine,0.0000383,0.00000769,0.000124,0.000171,0.0000959,0.000148,0.0000333,0.0000476
Aspartate,0.00000854,0.00000186,0.0000307,0.0000276,0.0000239,0.0000243,0.00000796,0.0000078
Lysine,0.000000519,0.000000116,0.00000192,0.00000237,0.00000151,0.00000209,0.000000491,0.000000659
Phenylalanine,0.00000178,0.000000354,0.00000572,0.00000935,0.00000441,0.00000812,0.00000154,0.00000261
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
